fold,train_days,date_start,date_end,accuracy,f1
1,252,2011-08-31,2011-12-01,0.6667,0.6769
2,315,2011-12-02,2012-03-06,0.5714,0.6747
3,378,2012-03-07,2012-06-11,0.4444,0.4068
4,441,2012-06-12,2012-09-14,0.5238,0.5312
5,504,2012-09-17,2012-12-17,0.5714,0.5846
6,567,2012-12-18,2013-03-21,0.5079,0.5373
7,630,2013-03-22,2013-06-25,0.6349,0.6849
8,693,2013-06-26,2013-09-30,0.4444,0.4615
9,756,2013-10-01,2014-01-06,0.4603,0.5526
10,819,2014-01-07,2014-04-14,0.5238,0.5161
11,882,2014-04-15,2014-07-16,0.4603,0.5143
12,945,2014-07-17,2014-10-17,0.4921,0.6
13,1008,2014-10-20,2015-01-21,0.4762,0.5479
14,1071,2015-01-22,2015-04-29,0.5397,0.6234
15,1134,2015-04-30,2015-07-29,0.381,0.4179
16,1197,2015-07-30,2015-10-30,0.5238,0.5833
17,1260,2015-11-02,2016-02-03,0.5238,0.5455
18,1323,2016-02-04,2016-05-09,0.4762,0.4762
19,1386,2016-05-10,2016-08-09,0.619,0.6
20,1449,2016-08-11,2016-11-17,0.5714,0.5091
21,1512,2016-11-18,2017-02-23,0.4921,0.3846
22,1575,2017-02-24,2017-06-02,0.4762,0.3529
23,1638,2017-06-05,2017-09-11,0.4762,0.4407
24,1701,2017-09-12,2017-12-21,0.4921,0.4667
25,1764,2017-12-22,2018-03-27,0.4603,0.3704
26,1827,2018-03-28,2018-06-27,0.619,0.6757
27,1890,2018-06-28,2018-10-02,0.5873,0.6667
28,1953,2018-10-03,2019-01-07,0.3651,0.4286
29,2016,2019-01-08,2019-04-09,0.5079,0.5231
30,2079,2019-04-10,2019-07-12,0.4762,0.4923
31,2142,2019-07-15,2019-10-10,0.5238,0.5714
32,2205,2019-10-11,2020-01-13,0.4286,0.4194
33,2268,2020-01-14,2020-04-14,0.5397,0.6234
34,2331,2020-04-15,2020-07-16,0.5556,0.6
35,2394,2020-07-20,2020-10-15,0.5079,0.5507
36,2457,2020-10-16,2021-01-19,0.4921,0.5789
37,2520,2021-01-20,2021-04-21,0.5238,0.6154
38,2583,2021-04-22,2021-07-21,0.5556,0.6216
39,2646,2021-07-22,2021-10-20,0.4762,0.459
40,2709,2021-10-21,2022-01-20,0.4762,0.5217
41,2772,2022-01-21,2022-04-21,0.3651,0.4286
42,2835,2022-04-22,2022-07-22,0.6667,0.7273
43,2898,2022-07-25,2022-10-20,0.5079,0.4746
44,2961,2022-10-21,2023-01-23,0.5079,0.3922
45,3024,2023-01-24,2023-05-02,0.4444,0.2222
46,3087,2023-05-03,2023-08-02,0.4603,0.2917
47,3150,2023-08-03,2023-10-31,0.6032,0.5614
48,3213,2023-11-01,2024-02-01,0.3651,0.2857
